Platz;Jahr;Titel;Interpret;Geschlecht ;Sprache;Genre 
67;2016;My House ;Flo Rida ;Männlich;Englisch ;HipHop/ Rap
68;2016;Spirits ;The Strumbellas ;Gemischt;Englisch ;Indie 
69;2016;Speeding Cars ;Walking On Cars ;Männlich;Englisch ;Indie 
70;2016;Hello ;Adele ;Weiblich;Englisch ;R&B/ Soul 
71;2016;Renegades ;X Ambassadors ;Männlich;Englisch ;Indie 
72;2016;Be The One ;Dua Lipa ;Weiblich;Englisch ;Pop
73;2016;Ride ;Twenty One Pilots;Männlich;Englisch ;HipHop/ Rap
74;2016;Hollande ;257ers ;Männlich;Deutsch ;HipHop/ Rap
75;2016;Show Me Love ;Robin Schulz und J.U.D.G.E.;Männlich;Englisch ;Electronic/ Dance 
76;2016;Chöre ;Mark Forster ;Männlich;Deutsch ;Pop
77;2016;Ich Will Nur Dass Du Weisst;SDP feat. Adel Tawil ;Männlich;Deutsch ;HipHop/ Rap
78;2016;Never Forget You ;Zara Larsson und MNEK;Gemischt;Englisch ;Pop
79;2016;Say You Wont Let Go;James Arthur;Männlich;Englisch ;Pop
80;2016;Sofia ;Alvaro Soler ;Männlich;Spanisch ;Pop 
81;2016;Musik Sein ;Wincent Weiss;Männlich;Deutsch ;Pop
82;2016;Sugar;Robin Schulz feat. Francesco Yates ;Männlich;Englisch ;Electronic/ Dance 
83;2016;Howling At The Moon ;Milow ;Männlich;Englisch ;Pop
84;2016;Sweet Lovin;Sigala feat. Bryn Christopher ;Männlich;Englisch ;Electronic/ Dance 
85;2016;Heatwave ;Robin Schulz feat. Akon ;Männlich;Englisch ;Electronic/ Dance 
86;2016;Roses ;The Chainsmokers feat. Rozes;Gemischt;Englisch ;Electronic/ Dance 
87;2016;Kokaina ;Miami Yacine ;Männlich;Deutsch ;HipHop/ Rap
88;2016;Pillowtalk ;Zayn ;Männlich;Englisch ;Pop
89;2016;Aint My Foult;Zara Larsson ;Weiblich;Englisch ;Pop
90;2016;Hundred Miles ;Yall feat. Gabriela Richardson ;Gemischt;Englisch ;Electronic/ Dance 
91;2016;Sex Ohne Grund ;Ali Bumaye feat. Shindy ;Männlich;Deutsch ;HipHop/ Rap
92;2016;No ;Meghan Trainor ;Weiblich;Englisch ;Pop
93;2016;Mercy ;Shawn Mendes ;Männlich;Englisch ;Pop
94;2016;Stoff und Schnaps ;Lil Kleine und Ronnie Flex ;Männlich;Deutsch ;Pop
95;2016;Capsize ;Frenship und Emily Warren ;Gemischt;Englisch ;Pop
96;2016;Side To Side ;Ariana Grande feat. Nicki Minaj;Weiblich;Englisch ;Electronic/ Dance 
97;2016;Astronaut ;Sido feat. Andreas Bourani ;Männlich;Deutsch ;HipHop/ Rap
98;2016;Mörder ;Bonez MC und RAF Camora feat. Gzuz ;Männlich;Deutsch ;HipHop/ Rap
99;2016;Wherever I Go ;OneRepublic;Männlich;Englisch ;Pop
100;2016;Just Like Fire ;P!nk ;Männlich;Englisch ;Pop
1;2015;Cheerleader (Felix Jaehn Remix);Omi;Männlich;Englisch ;Pop
2;2015;Are You With Me;Lost Frequencies  ;Männlich;Englisch ;Electronic/ Dance 
3;2015;Aint Nobody (Loves Me Better) ;Felix Jaehn feat. Jasmine Thompson ;Gemischt;Englisch ;Electronic/ Dance 
4;2015;Love Me Like You Do ;Elli Goulding ;Weiblich;Englisch ;Pop
5;2015;Lean On ;Major Lazer und DJ Snake ;Gemischt;Englisch ;Electronic/ Dance 
6;2015;Astronaut ;Sido feat. Andreas Bourani ;Weiblich;Englisch ;Electronic/ Dance 
7;2015;Hello ;Adele ;Weiblich;Englisch ;R&B/ Soul 
8;2015;Sugar;Robin Schulz feat. Francesco Yates ;Männlich;Englisch ;Electronic/ Dance 
9;2015;See You Again ;Wiz Khalifa feat. Charlie Puth ;Männlich;Englisch ;HipHop/ Rap
