Platz;Jahr;Titel;Interpret;Geschlecht;Deutsch ;Genre ;;
87;2017;Ya Salam ;Kurdo;0;1;2;;
88;2017;What Lovers Do ;Maroon 5 feat. SZA;0;0;0;;
89;2017;Palmen Aus Plastik ;Monez MC und RAF Camora ;0;1;2;;
90;2017;Without You ;Avicii feat. Sandro Cavazza ;0;0;1;;
91;2017;Bad Ideas ;Alle Farben  ;0;0;1;;
92;2017;Never Give Up;Sia ;1;0;0;;
93;2017;Issues ;Julia Michaels ;1;0;0;;
94;2017;Now and Later;Sage The Gemini;0;0;2;;
95;2017;Whatever It Takes ;Imagine Dragons ;0;0;0;;
96;2017;Too Good At Goodbyes;Sam Smith ;0;0;0;;
97;2017;Starboy;The Weekend feat. Daft Punk ;0;0;0;;
98;2017;No Promises ;Cheat Codes feat. Demi Lovato;2;0;0;;
99;2017;Humble.;Kendrick Lamar;0;0;2;;
100;2017;Chantaje;Shakrira feat. Maluma ;1;0;0;;
1;2016;Faded;Alan Walker ;0;0;1;;
2;2016;Die Immer Lacht ;Stereoact feat. Kerstin Ott;2;1;1;;
3;2016;Cheap Thrills ;Sia feat. Sean Paul ;2;0;1;;
4;2016;Dont Be So Shy (Filatov und Karas Remix);Imany ;1;0;0;;
5;2016;One Dance ;Drake feat. Wizkid und Kyla ;2;0;2;;
6;2016;This Girl ;Kungs vs. Cookin On 3 Burners ;2;0;1;;
7;2016;Dont Let Me Down;The Chainsmokers feat. Daya;2;0;1;;
8;2016;Stressed Out;Twenty One Pilots;0;0;2;;
9;2016;Human ;Rag n Bone Man ;0;0;0;;
10;2016;Cant Stopp The Feeling!;Justin Timberlake  ;0;0;0;;
11;2016;I Took A Pill In Ibiza ;Mike Posner ;0;0;1;;
12;2016;Love Yourself ;Justin Bieber  ;0;0;0;;
13;2016;Fast Car ;Jonas Blue feat. Dakota ;2;0;1;;
14;2016;The Sound Of Silence ;Disturbed;0;0;0;;
15;2016;Cold Water ;Major Lazer feat. Justin Bieber und MO ;2;0;1;;
16;2016;Let Me Love You ;DJ Snake feat. Justin Bieber ;0;0;0;;
17;2016;This Is What You Came For;Calvin Harris feat. Rihanna;2;0;0;;
18;2016;Closer;The Chainsmokers feat. Halsey;2;0;1;;
19;2016;Me, Myseld and I;G-Easy und Bebe Rexha ;2;0;2;;
20;2016;Aint Your Mama ;Jennifer Lopez ;1;0;0;;
21;2016;Wer Sind Gross;Mark Forster ;0;1;0;;
22;2016;7 Years ;Lukas Graham ;0;0;0;;
23;2016;Bonfire ;Felix Jaehn feat. Alma ;2;0;1;;
24;2016;Treat You Better;Shawn Mendes ;0;0;0;;
25;2016;Hulapalu;Andreas Gabalier ;0;1;0;;
26;2016;Please Tell Rosie ;Alle Farben feat. Younotus ;0;0;1;;
27;2016;The Ocean ;Mike Perry feat. Shy Martin ;2;0;0;;
28;2016;Hymn For The Weekend ;Coldplay;0;0;0;;
